2022-08-21 00:30:54.798 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1895 ms
2022-08-21 00:30:54.915 [main] INFO  o.s.boot.web.servlet.RegistrationBean - Filter webStatFilter was not registered (possibly already registered?)
2022-08-21 00:30:54.918 [main] INFO  o.s.boot.web.servlet.RegistrationBean - Servlet statViewServlet was not registered (possibly already registered?)
2022-08-21 00:30:54.987 [main] INFO  ru.yandex.clickhouse.ClickHouseDriver - Driver registered
2022-08-21 00:30:55.707 [main] INFO  org.springframework.aop.framework.CglibAopProxy - Unable to proxy interface-implementing method [public final io.grpc.ServerServiceDefinition com.wr.grpc.lib.dataset.DataSetServiceGrpc$DataSetServiceImplBase.bindService()] because it is marked as final: Consider using interface-based JDK proxies instead!
2022-08-21 00:30:55.837 [main] INFO  org.redisson.Version - Redisson 3.10.4
2022-08-21 00:30:56.536 [redisson-netty-1-2] INFO  org.redisson.connection.pool.MasterConnectionPool - 32 connections initialized for 162.14.78.202/162.14.78.202:6379
2022-08-21 00:30:56.536 [redisson-netty-1-3] INFO  o.r.connection.pool.MasterPubSubConnectionPool - 1 connections initialized for 162.14.78.202/162.14.78.202:6379
2022-08-21 00:30:57.019 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
2022-08-21 00:30:57.300 [main] INFO  n.d.b.g.s.a.GrpcServerFactoryAutoConfiguration - Detected grpc-netty-shaded: Creating ShadedNettyGrpcServerFactory
2022-08-21 00:30:57.628 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8082"]
2022-08-21 00:30:57.638 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8082 (http) with context path ''
2022-08-21 00:30:57.993 [main] INFO  n.d.b.g.s.serverfactory.AbstractGrpcServerFactory - Registered gRPC service: dataset.DataSetService, bean: dataSetService, class: com.localserver.grpc.DataSetService$$EnhancerBySpringCGLIB$$50e6dc8d
2022-08-21 00:30:57.994 [main] INFO  n.d.b.g.s.serverfactory.AbstractGrpcServerFactory - Registered gRPC service: db.DbService, bean: dbService, class: com.localserver.grpc.DbService
2022-08-21 00:30:57.994 [main] INFO  n.d.b.g.s.serverfactory.AbstractGrpcServerFactory - Registered gRPC service: search.SearchService, bean: searchService, class: com.localserver.grpc.SearchService
2022-08-21 00:30:57.994 [main] INFO  n.d.b.g.s.serverfactory.AbstractGrpcServerFactory - Registered gRPC service: table.TableService, bean: tableService, class: com.localserver.grpc.TableService
2022-08-21 00:30:57.994 [main] INFO  n.d.b.g.s.serverfactory.AbstractGrpcServerFactory - Registered gRPC service: datasource.DataSourceService, bean: dataSourceServiceImpl, class: com.localserver.mysql.service.impl.DataSourceServiceImpl
2022-08-21 00:30:57.994 [main] INFO  n.d.b.g.s.serverfactory.AbstractGrpcServerFactory - Registered gRPC service: Simple, bean: grpcServerService, class: com.localserver.mysql.service.impl.GrpcServerService
2022-08-21 00:30:57.994 [main] INFO  n.d.b.g.s.serverfactory.AbstractGrpcServerFactory - Registered gRPC service: grpc.health.v1.Health, bean: grpcHealthService, class: io.grpc.services.HealthServiceImpl
2022-08-21 00:30:57.994 [main] INFO  n.d.b.g.s.serverfactory.AbstractGrpcServerFactory - Registered gRPC service: grpc.reflection.v1alpha.ServerReflection, bean: protoReflectionService, class: io.grpc.protobuf.services.ProtoReflectionService
2022-08-21 00:30:58.348 [main] INFO  n.d.b.g.server.serverfactory.GrpcServerLifecycle - gRPC Server started, listening on address: *, port: 50051
2022-08-21 00:30:58.361 [main] INFO  com.localserver.LocalServerApplication - Started LocalServerApplication in 5.946 seconds (JVM running for 6.857)
2022-08-21 00:30:58.565 [RMI TCP Connection(2)-192.168.0.102] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
